"","listener","Group","Q.ASLN.NoAlt","Q.ASLN.Alt","AMSSN.ASLN.Alt","MDR_F.ASLN.Alt","ENG_F.ASLN.Alt","Q.CCRM.NoAlt","Q.CCRM.Alt","AMSSN.CCRM.Alt","MDR_F.CCRM.Alt","ENG_F.CCRM.Alt","CCRM_F.CCRM.Alt"
"30","TD10","TD",-0.166959075194513,-1.19326197752374,-0.870681960670833,1.01959368750566,1.02822253966239,-1.9191643174753,0.0458192405097008,-1.38038729494676,0.955515561212305,0.698723632816082,0.426324260246372
"31","TD11","TD",5.58121057959377,5.27196931298548,9.03550083109051,1.15268201648717,0.472313851807566,0.632773439732149,1.71972427106728,0.425087696753592,0.0526803802386265,1.22372501397097,0.236906292197983
"32","TD12","TD",0.779627238816894,-0.45446172424022,-1.30106524479281,0.776139977925639,-0.68613964542101,-0.416937552844909,3.43592032807687,1.65122747588525,0.727237214510675,0.191622830304307,0.484324653451543
"33","TD13","TD",-0.128011258390026,-0.0951095527769951,-0.220217853037567,-1.43919405368225,-0.295408226256518,0.377695397166513,1.17829953541692,-0.414583198009836,-0.868379203043016,0.210258984010499,-0.269439265618967
"34","TD14","TD",-0.531341541173045,0.598567692477241,0.09849901270983,-0.160374947751332,0.309408171638707,0.966556530064259,-0.341158572933054,-0.888607496726518,2.77206088858516,0.764516221347258,-0.200611510561861
"35","TD15","TD",0.454557419504021,1.31776818379775,2.81432066293963,-0.842557577687873,0.341603070472697,5.72214243158162,-1.68434335736871,-0.701586321279191,1.07814619431588,-1.34354372021499,0.241147587187045
"36","TD16","TD",0.877280662920596,-0.752366747587218,0.575688413320019,0.277839687046498,-4.20380259759412,0.0114073279621248,-1.63766666673327,-0.972967075576264,-1.86834488970444,-1.80439345170868,-1.57950341568045
"37","TD17","TD",2.81272561528508,-0.561539865113817,-2.17671246069524,-0.399304174766444,0.53638290432807,-0.669518013260383,-0.0848818500548833,-0.40035001100515,0.283865280431088,0.34261770184812,-1.21935511685921
"38","TD18","TD",-0.442918300363025,-0.601952775378272,0.159445668248484,-0.688348400149752,-1.60475814206418,-0.570296987948856,0.569315339912836,-0.934677712633908,0.322113705205844,-1.13952626771715,1.06654707167291
"39","TD19","TD",1.62506004605456,1.21945880613685,0.73149209255656,-0.762871348894199,-0.275903394057325,1.07136135499567,-0.310609090298677,1.4426400635528,-0.65772849905668,-0.0731884626903812,0.452609368794491
"40","TD20","TD",1.26547508665346,-0.501085013785677,-0.376683165383947,-0.0448261799918867,0.116919583679849,-0.983180872775197,-1.15422051425126,0.93936739014562,-0.259569460984607,-1.09104948865374,-1.18386157569753
"41","TD21","TD",1.08033101578593,-0.89864441238685,1.77576026052632,2.19792882540868,1.75479269453112,-0.0388733099931452,-0.337925613474536,0.942563225644339,0.448096695145781,-0.619985543687833,0.894035124677371
"42","TD22","TD",1.41536067811488,1.08515972079855,-0.0942539446161707,0.406732985761096,0.918577887940567,0.612653208914829,-0.82073912491504,-0.833951816248221,-1.3719870348489,0.36496969658189,-0.484464279671798
"43","TD23","TD",-0.473000763735028,-1.23874952269224,-0.0448574479999185,-0.726514631481419,-0.667505476903146,-0.968877208345651,0.198416487031962,-0.699104102823017,1.06491347137515,0.348578233777126,0.733276616502617
