"","listener","Age","Group","Group2","CondCode","uRevs","TempRmv","z","material"
"141","TD15",7,"TD","TD_0","Diff_MDR",0.485333333333333,0,1.70093721768668,"CCRM"
"142","TD16",10,"TD","TD_0","Diff_MDR",0.166666666666667,0,-0.313078352061757,"CCRM"
"143","TD17",11.9,"TD","TD_0","Diff_MDR",0.251666666666667,0,0.313389514417136,"CCRM"
"144","TD18",9.2,"TD","TD_0","Diff_MDR",0.183833333333333,0,-0.225684976057849,"CCRM"
"145","TD19",10.1,"TD","TD_0","Diff_MDR",0.166833333333333,0,-0.308667587516252,"CCRM"
"146","TD20",9.7,"TD","TD_0","Diff_MDR",0.293333333333334,0,0.5169727117501,"CCRM"
"147","TD21",10,"TD","TD_0","Diff_MDR",0.29,0,0.504784930391455,"CCRM"
"148","TD22",8.9,"TD","TD_0","Diff_MDR",0.136666666666667,0,-0.548379052244235,"CCRM"
"149","TD23",11.1,"TD","TD_0","Diff_MDR",0.306666666666667,0,0.651667978416831,"CCRM"
"150","TD01",11.9,"TD","TD_0","Diff_ENG",0.173,0,0.18200453587574,"CCRM"
"151","TD02",10.6,"TD","TD_1","Diff_ENG",0.1445,0,-0.335531991581734,"CCRM"
"152","TD03",12.1,"TD","TD_1","Diff_ENG",0.353,0,1.63012619325358,"CCRM"
"153","TD04",10.6,"TD","TD_1","Diff_ENG",0.326833333333333,0,1.08531895666988,"CCRM"
"154","TD06",10.6,"TD","TD_1","Diff_ENG",0.108333333333333,0,-0.617364400878447,"CCRM"
"155","TD07",8.5,"TD","TD_1","Diff_ENG",0.294333333333333,0,0.354798243658045,"CCRM"
"156","TD09",8.2,"TD","TD_0","Diff_ENG",0.309666666666667,0,0.406104627250131,"CCRM"
"157","TD10",7.7,"TD","TD_0","Diff_ENG",0.371333333333334,0,0.773014753579273,"CCRM"
"158","TD11",7.3,"TD","TD_0","Diff_ENG",0.292,0,0.0638948363151144,"CCRM"
"159","TD13",7.4,"TD","TD_0","Diff_ENG",0.197333333333334,0,-0.651078019331236,"CCRM"
"160","TD14",7.9,"TD","TD_1","Diff_ENG",0.413333333333334,0,1.14575744829501,"CCRM"
"161","TD15",7,"TD","TD_0","Diff_ENG",0.271333333333333,0,-0.165332422526398,"CCRM"
"162","TD16",10,"TD","TD_0","Diff_ENG",0.110333333333333,0,-0.738139534150662,"CCRM"
"163","TD17",11.9,"TD","TD_0","Diff_ENG",0.207,0,0.446952975951909,"CCRM"
"164","TD18",9.2,"TD","TD_0","Diff_ENG",0.01,0,-1.7018109665875,"CCRM"
"165","TD19",10.1,"TD","TD_0","Diff_ENG",0.223833333333333,0,0.169047422237961,"CCRM"
